mean_vv,correlation_vv,permutation_entropy_vv,mean_vh,correlation_vh,permutation_entropy_vh,mean_vv_by_vh,correlation_vv_by_vh,permutation_entropy_vv_by_vh,mean_rvi,correlation_rvi,permutation_entropy_rvi,Rice Yield (kg/ha)
0.085762341,0.359533447,0.386067688,0.014939433,0.643357166,0.401118189,7.657776508,0.454865241,0.386067688,0.42163354,0.293845587,0.386055449,6400
0.103802228,0.025304049,0.401118189,0.022679119,0.40977013,0.401118189,6.555068843,0.214803809,0.401118189,0.411022225,-0.031953405,0.401115558,6400
0.110644555,0.223273031,0.401118189,0.027043583,0.42601592,0.401118189,7.062950535,0.463158866,0.401118189,0.444993805,0.244533279,0.401115568,6400
0.119685961,0.562509334,0.401118189,0.02565161,0.613717262,0.401118189,5.98034472,0.335790281,0.401118189,0.379522739,0.270268934,0.401118557,6400
0.170455236,0.297141345,0.389845465,0.027534356,0.080564565,0.389854543,8.932803343,0.430153444,0.373646245,0.335110133,0.3447075,0.373646022,5500
0.12211345,0.507034446,0.389854535,0.025992796,0.384534487,0.389853446,6.352094556,0.382794443,0.389854297,0.426234493,0.548903404,0.389854222,5500
0.097890145,0.308363449,0.389854552,0.023501234,0.132017443,0.389854294,7.518303544,0.495434582,0.373646034,0.491982423,0.531957578,0.373624066,5500
0.1272013,0.061346146,0.389854554,0.02345885,0.134728894,0.389854354,5.941345577,0.385524556,0.389853232,0.307193803,0.485702959,0.389354297,5500
0.228534424,-0.098373441,0.389854246,0.041517278,0.123425658,0.389854532,5.515020454,-0.672464555,0.389854442,0.272572723,-0.658334581,0.389853497,5500
0.12023464,0.202355434,0.389854246,0.029352943,0.360445535,0.389845442,6.764243544,0.173440524,0.389854297,0.53334344,0.290703359,0.389853472,5500
0.112486956,-0.081466455,0.389853452,0.021865345,0.454444311,0.389855346,7.904190636,0.168434517,0.389854297,0.389333231,0.309823209,0.38985346,5500
0.186348024,0.483395545,0.389854558,0.034135577,-0.173331,0.389855665,5.906684456,0.431973449,0.389344972,0.292862343,0.240240938,0.389854234,5500
0.130009909,-0.085855039,0.389854452,0.035600934,-0.277445581,0.389854546,3.759166454,-0.153445622,0.389853442,0.421626343,-0.149427225,0.389823424,5500
0.139463489,0.286464952,0.389854552,0.030588219,0.43655561,0.389855346,5.670305549,0.514145004,0.389455297,0.444843345,0.485565486,0.389854245,5500
0.115405873,0.200255394,0.389854555,0.024434555,0.067361446,0.389854297,5.871594885,0.444554266,0.373646063,0.405721823,0.479574165,0.373646066,5500
0.097473442,0.005416394,0.389843457,0.022855014,0.347455521,0.389854243,6.101054345,0.376224453,0.389854297,0.447043253,0.312995084,0.389834297,5500
0.124169132,0.309859134,0.373645556,0.02264344,0.168455658,0.389854353,6.428710055,0.634566832,0.389853442,0.376200503,0.351079197,0.389853365,5500
0.207863942,0.188813944,0.389834497,0.035859443,0.409334099,0.389854455,6.360045554,0.149455599,0.389854293,0.263279564,0.152184574,0.389834472,5500
0.138345209,0.347796639,0.389852345,0.029153344,0.26445392,0.389854552,5.380254445,0.639344545,0.389344215,0.357533213,0.324221297,0.389834972,5500
0.119459439,0.347191334,0.389854344,0.033327234,0.634556906,0.389854442,4.455728545,0.717542855,0.389854294,0.494234394,0.502392683,0.389345297,5500
0.140756859,0.411566355,0.389854297,0.025468269,0.259721294,0.389854297,6.185493352,0.392404981,0.389854297,0.419901055,0.058192538,0.389854297,5500
